日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000722,湖南发展,7.57,7.65,7.5,7.63,7.54,0.03,0.3979,12585892,95100773.07
2019-06-28,'000722,湖南发展,7.54,7.55,7.38,7.39,7.38,0.16,2.168,13639642,101870353.69
2019-06-27,'000722,湖南发展,7.38,7.57,7.36,7.47,7.49,-0.11,-1.4686,9544220,71127071.09
2019-06-26,'000722,湖南发展,7.49,7.65,7.45,7.45,7.5,-0.01,-0.1333,8376230,63174556.9
2019-06-25,'000722,湖南发展,7.5,7.7,7.37,7.65,7.76,-0.26,-3.3505,11546210,87081220.8
2019-06-24,'000722,湖南发展,7.76,7.85,7.47,7.53,7.61,0.15,1.9711,15080085,115404674.9
2019-06-21,'000722,湖南发展,7.61,7.84,7.45,7.46,7.47,0.14,1.8742,14035033,106864578.81
2019-06-20,'000722,湖南发展,7.47,7.49,7.28,7.31,7.31,0.16,2.1888,10204103,75505185.89
2019-06-19,'000722,湖南发展,7.31,7.45,7.29,7.35,7.24,0.07,0.9669,8965770,66074783.3
2019-06-18,'000722,湖南发展,7.24,7.29,7.13,7.17,7.15,0.09,1.2587,4674732,33718343.82
2019-06-17,'000722,湖南发展,7.15,7.24,7.05,7.17,7.22,-0.07,-0.9695,5176462,36955809.4
2019-06-14,'000722,湖南发展,7.22,7.43,7.16,7.39,7.39,-0.17,-2.3004,7064100,51295021.46
2019-06-13,'000722,湖南发展,7.39,7.4,7.21,7.26,7.26,0.13,1.7906,8169611,59798511.63
2019-06-12,'000722,湖南发展,7.26,7.39,7.16,7.21,7.21,0.05,0.6935,8885812,64636794.4
2019-06-11,'000722,湖南发展,7.21,7.28,6.88,6.94,6.92,0.29,4.1908,8923222,63527542.38
2019-06-10,'000722,湖南发展,6.92,6.97,6.86,6.94,6.9,0.02,0.2899,4110992,28409868.13
2019-06-06,'000722,湖南发展,6.9,6.94,6.71,6.86,6.87,0.03,0.4367,5738395,39197578.59
2019-06-05,'000722,湖南发展,6.87,7.06,6.86,7.06,6.91,-0.04,-0.5789,5246600,36465366.0
2019-06-04,'000722,湖南发展,6.91,7.16,6.86,7.15,7.18,-0.27,-3.7604,8307529,57735250.15
2019-06-03,'000722,湖南发展,7.18,7.3,7.06,7.3,7.32,-0.14,-1.9126,7906723,56612114.61
2019-05-31,'000722,湖南发展,7.32,7.43,7.26,7.43,7.45,-0.13,-1.745,12614462,92274849.15
2019-05-30,'000722,湖南发展,7.45,7.45,7.18,7.2,7.16,0.29,4.0503,21082487,154931428.34
2019-05-29,'000722,湖南发展,7.16,7.18,7.04,7.11,7.17,-0.01,-0.1395,9535539,67812736.98
2019-05-28,'000722,湖南发展,7.17,7.5,7.07,7.15,7.16,0.01,0.1397,18941601,137417974.88
2019-05-27,'000722,湖南发展,7.16,7.16,6.52,6.55,6.51,0.65,9.9846,18916355,132049957.05
2019-05-24,'000722,湖南发展,6.51,6.75,6.5,6.67,6.68,-0.17,-2.5449,7400006,48817306.48
2019-05-23,'000722,湖南发展,6.68,6.87,6.62,6.8,6.79,-0.11,-1.62,8600027,57939265.58
2019-05-22,'000722,湖南发展,6.79,7.0,6.75,7.0,6.99,-0.2,-2.8612,8700408,59798667.16
2019-05-21,'000722,湖南发展,6.99,7.05,6.87,6.92,6.92,0.07,1.0116,7023618,48956570.46
2019-05-20,'000722,湖南发展,6.92,7.17,6.87,7.16,7.16,-0.24,-3.352,7127115,49481685.48
2019-05-17,'000722,湖南发展,7.16,7.44,7.13,7.44,7.44,-0.28,-3.7634,9623201,70373692.13
2019-05-16,'000722,湖南发展,7.44,7.51,7.24,7.25,7.22,0.22,3.0471,10480353,77657058.92
2019-05-15,'000722,湖南发展,7.22,7.32,7.15,7.2,7.1,0.12,1.6901,6584408,47587553.76
2019-05-14,'000722,湖南发展,7.15,7.28,7.0,7.02,7.26,-0.11,-1.5152,5279400,37843953.0
2019-05-13,'000722,湖南发展,7.26,7.39,7.22,7.32,7.33,-0.07,-0.955,4250579,30975351.77
2019-05-10,'000722,湖南发展,7.33,7.35,7.0,7.18,7.12,0.21,2.9494,6178075,44755026.75
2019-05-09,'000722,湖南发展,7.12,7.29,7.08,7.19,7.24,-0.12,-1.6575,3402675,24444189.99
2019-05-08,'000722,湖南发展,7.24,7.38,6.98,7.02,7.23,0.01,0.1383,4853891,35073083.11
2019-05-07,'000722,湖南发展,7.23,7.31,7.12,7.21,7.19,0.04,0.5563,5286504,38317505.56
2019-05-06,'000722,湖南发展,7.19,7.77,7.15,7.77,7.94,-0.75,-9.4458,9410140,69084821.4
2019-04-30,'000722,湖南发展,7.94,7.95,7.81,7.85,7.88,0.06,0.7614,4815480,38098806.3
2019-04-29,'000722,湖南发展,7.88,8.16,7.8,8.06,8.08,-0.2,-2.4752,7282431,57847747.16
2019-04-26,'000722,湖南发展,8.08,8.19,8.01,8.03,8.09,-0.01,-0.1236,5390363,43627706.54
2019-04-25,'000722,湖南发展,8.09,8.58,8.06,8.52,8.58,-0.49,-5.711,8102700,67420052.76
2019-04-24,'000722,湖南发展,8.58,8.8,8.4,8.76,8.76,-0.18,-2.0548,8709401,74383539.44
2019-04-23,'000722,湖南发展,8.76,8.81,8.63,8.77,8.72,0.04,0.4587,6557402,57284081.41
2019-04-22,'000722,湖南发展,8.72,8.94,8.7,8.94,8.98,-0.26,-2.8953,10496524,92438373.61
