日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000723,美锦能源,11.5,11.5,10.65,10.99,10.45,1.05,10.0478,207572804,2313742414.91
2019-06-28,'000723,美锦能源,10.45,10.7,10.21,10.67,10.65,-0.2,-1.8779,93036859,965608645.91
2019-06-27,'000723,美锦能源,10.65,10.87,10.49,10.61,10.45,0.2,1.9139,118106404,1259906999.49
2019-06-26,'000723,美锦能源,10.45,11.0,10.38,11.0,11.19,-0.74,-6.613,145934183,1548767303.47
2019-06-25,'000723,美锦能源,11.19,11.44,10.94,10.96,11.02,0.17,1.5426,160901859,1799121567.23
2019-06-24,'000723,美锦能源,11.02,11.45,10.91,11.1,11.06,-0.04,-0.3617,120940620,1344864690.03
2019-06-21,'000723,美锦能源,11.06,11.24,10.8,11.02,10.99,0.07,0.6369,157064274,1734154960.84
2019-06-20,'000723,美锦能源,10.99,11.4,10.2,10.37,10.52,0.47,4.4677,202630808,2194812825.69
2019-06-19,'000723,美锦能源,10.52,11.03,10.35,10.5,10.18,0.34,3.3399,152767168,1634081062.02
2019-06-18,'000723,美锦能源,10.18,10.35,10.0,10.15,10.12,0.06,0.5929,81209224,823815561.37
2019-06-17,'000723,美锦能源,10.12,10.38,10.0,10.25,10.65,-0.53,-4.9765,119307596,1211853030.24
2019-06-14,'000723,美锦能源,10.65,11.67,10.56,11.5,11.22,-0.57,-5.0802,251235723,2799164648.14
2019-06-13,'000723,美锦能源,11.22,11.22,10.26,10.36,10.2,1.02,10.0,181616915,1947552150.11
2019-06-12,'000723,美锦能源,10.2,10.83,10.05,10.7,10.87,-0.67,-6.1638,183007264,1916714333.59
2019-06-11,'000723,美锦能源,10.87,11.18,10.12,10.3,10.27,0.6,5.8423,186848182,1993591568.34
2019-06-10,'000723,美锦能源,10.27,10.59,9.96,10.54,10.47,-0.2,-1.9102,122731100,1253200833.97
2019-06-06,'000723,美锦能源,10.47,10.84,9.96,10.28,10.16,0.31,3.0512,168838025,1764808359.49
2019-06-05,'000723,美锦能源,10.16,10.98,10.12,10.95,10.83,-0.67,-6.1865,148330958,1547182366.04
2019-06-04,'000723,美锦能源,10.83,10.95,10.36,10.57,11.29,-0.46,-4.0744,170947889,1822577409.91
2019-06-03,'000723,美锦能源,11.29,11.87,11.29,11.66,12.54,-1.25,-9.9681,95831175,1101671478.5
2019-05-31,'000723,美锦能源,12.54,13.1,12.44,13.06,13.19,-0.65,-4.928,132935846,1698783165.84
2019-05-30,'000723,美锦能源,13.19,13.49,12.77,13.1,13.03,0.16,1.2279,134355089,1770728049.81
2019-05-29,'000723,美锦能源,13.03,13.65,12.97,13.41,13.52,-0.49,-3.6243,142997853,1893988261.95
2019-05-28,'000723,美锦能源,13.52,13.99,13.38,13.42,13.69,-0.17,-1.2418,154426089,2104370355.32
2019-05-27,'000723,美锦能源,13.69,13.79,12.62,13.2,13.51,0.18,1.3323,171362067,2270533657.64
2019-05-24,'000723,美锦能源,13.51,13.99,13.09,13.34,13.3,0.21,1.5789,163104103,2217697619.27
2019-05-23,'000723,美锦能源,13.3,13.82,12.95,13.22,13.41,-0.11,-0.8203,135029238,1818694742.83
2019-05-22,'000723,美锦能源,13.41,13.88,13.21,13.28,13.32,0.09,0.6757,145852514,1968631748.37
2019-05-21,'000723,美锦能源,13.32,13.65,12.9,13.05,12.92,0.4,3.096,150311155,1998265107.69
2019-05-20,'000723,美锦能源,12.92,13.85,12.92,13.79,14.35,-1.43,-9.9652,185059656,2425548531.18
2019-05-17,'000723,美锦能源,14.35,15.43,14.16,15.37,15.73,-1.38,-8.773,221684835,3239752021.21
2019-05-16,'000723,美锦能源,15.73,17.07,15.52,17.07,16.64,-0.91,-5.4688,268141303,4386536849.24
2019-05-15,'000723,美锦能源,16.64,16.64,15.22,15.31,15.13,1.51,9.9802,226903703,3611341282.17
2019-05-14,'000723,美锦能源,15.13,15.55,14.9,15.1,15.63,-0.5,-3.199,167849382,2558097185.65
2019-05-13,'000723,美锦能源,15.63,16.25,15.2,15.59,15.49,0.14,0.9038,242886408,3809081837.32
2019-05-10,'000723,美锦能源,15.49,15.49,14.01,14.62,14.08,1.41,10.0142,225408216,3333922303.05
2019-05-09,'000723,美锦能源,14.08,14.85,13.99,13.99,14.42,-0.34,-2.3578,159522891,2295919700.02
2019-05-08,'000723,美锦能源,14.42,15.29,14.26,14.88,15.56,-1.14,-7.3265,213468346,3128652600.03
2019-05-07,'000723,美锦能源,15.56,15.84,14.5,14.61,14.4,1.16,8.0556,277247107,4274914760.85
2019-05-06,'000723,美锦能源,14.4,15.45,14.09,14.5,15.17,-0.77,-5.0758,210963000,3106179414.71
2019-04-30,'000723,美锦能源,15.17,15.69,14.72,15.2,15.92,-0.75,-4.7111,207991274,3166501352.95
2019-04-29,'000723,美锦能源,15.92,16.95,15.15,16.54,16.06,-0.14,-0.8717,240660849,3919243389.21
2019-04-26,'000723,美锦能源,16.06,16.99,15.8,16.11,16.46,-0.4,-2.4301,195521583,3209545980.43
2019-04-25,'000723,美锦能源,16.46,17.44,16.46,17.43,18.29,-1.83,-10.0055,185840519,3140145869.41
2019-04-24,'000723,美锦能源,18.29,18.69,17.46,18.21,18.0,0.29,1.6111,226392653,4094482471.1
2019-04-23,'000723,美锦能源,18.0,19.0,17.71,18.8,18.6,-0.6,-3.2258,209852551,3841186803.11
2019-04-22,'000723,美锦能源,18.6,20.12,18.33,19.61,20.04,-1.44,-7.1856,239760324,4583491030.74
2019-04-19,'000723,美锦能源,20.04,21.54,18.6,19.33,20.23,-0.19,-0.9392,319690193,6402784681.41
2019-04-18,'000723,美锦能源,20.23,20.89,18.33,19.78,18.99,1.24,6.5298,365094222,7333705527.99
2019-04-17,'000723,美锦能源,18.99,18.99,17.5,17.78,17.26,1.73,10.0232,265848950,4907184957.67
2019-04-16,'000723,美锦能源,17.26,17.26,14.9,15.37,15.69,1.57,10.0064,288584501,4561582172.62
2019-04-15,'000723,美锦能源,15.69,16.3,14.7,15.32,14.98,0.71,4.7397,289157928,4506424643.99
2019-04-12,'000723,美锦能源,14.98,16.9,14.98,16.6,16.64,-1.66,-9.976,291047734,4570833754.72
2019-04-11,'000723,美锦能源,16.64,17.85,15.72,16.45,16.44,0.2,1.2165,288622939,4916882778.71
2019-04-10,'000723,美锦能源,16.44,17.17,14.85,15.93,15.61,0.83,5.3171,298600306,4929963231.1
2019-04-09,'000723,美锦能源,15.61,15.61,13.5,14.6,14.19,1.42,10.007,275542837,4054085752.39
2019-04-08,'000723,美锦能源,14.19,14.19,13.26,13.5,12.9,1.29,10.0,199175616,2773243422.25
2019-04-04,'000723,美锦能源,12.9,12.9,11.8,12.28,11.73,1.17,9.9744,263902652,3311156277.96
2019-04-03,'000723,美锦能源,11.73,11.73,10.28,10.36,10.66,1.07,10.0375,235177704,2620247942.92
