日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000725,京东方Ａ,3.78,3.78,3.52,3.57,3.44,0.34,9.8837,1614427665,5971396600.76
2019-06-28,'000725,京东方Ａ,3.44,3.48,3.41,3.45,3.46,-0.02,-0.578,283990687,976846932.87
2019-06-27,'000725,京东方Ａ,3.46,3.49,3.43,3.44,3.42,0.04,1.1696,325984331,1127351167.1
2019-06-26,'000725,京东方Ａ,3.42,3.46,3.39,3.41,3.41,0.01,0.2933,247548087,849203447.3
2019-06-25,'000725,京东方Ａ,3.41,3.46,3.39,3.46,3.45,-0.04,-1.1594,268288683,916343999.89
2019-06-24,'000725,京东方Ａ,3.45,3.49,3.44,3.48,3.5,-0.05,-1.4286,268945581,930363787.37
2019-06-21,'000725,京东方Ａ,3.5,3.52,3.44,3.46,3.44,0.06,1.7442,633908049,2208062378.47
2019-06-20,'000725,京东方Ａ,3.44,3.45,3.36,3.37,3.38,0.06,1.7751,417815475,1429085013.36
2019-06-19,'000725,京东方Ａ,3.38,3.46,3.37,3.44,3.35,0.03,0.8955,366312791,1250053844.27
2019-06-18,'000725,京东方Ａ,3.35,3.38,3.33,3.37,3.37,-0.02,-0.5935,193077975,646915242.46
2019-06-17,'000725,京东方Ａ,3.37,3.4,3.36,3.39,3.39,-0.02,-0.59,178978568,604627150.31
2019-06-14,'000725,京东方Ａ,3.39,3.46,3.38,3.45,3.44,-0.05,-1.4535,267815157,914927631.24
2019-06-13,'000725,京东方Ａ,3.44,3.47,3.43,3.43,3.45,-0.01,-0.2899,264579644,911599080.35
2019-06-12,'000725,京东方Ａ,3.45,3.49,3.43,3.47,3.49,-0.04,-1.1461,329022792,1137793206.03
2019-06-11,'000725,京东方Ａ,3.49,3.5,3.35,3.39,3.39,0.1,2.9499,656952509,2265450400.19
2019-06-10,'000725,京东方Ａ,3.39,3.42,3.32,3.34,3.32,0.07,2.1084,348121689,1177026632.04
2019-06-06,'000725,京东方Ａ,3.32,3.39,3.3,3.38,3.38,-0.06,-1.7751,291099873,971506562.82
2019-06-05,'000725,京东方Ａ,3.38,3.42,3.37,3.4,3.37,0.01,0.2967,252613528,857176502.13
2019-06-04,'000725,京东方Ａ,3.37,3.44,3.35,3.44,3.44,-0.07,-2.0349,347455343,1179990139.0
