日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000727,华东科技,2.3,2.3,2.13,2.14,2.09,0.21,10.0478,109651003,246005472.28
2019-06-28,'000727,华东科技,2.09,2.14,2.08,2.14,2.14,-0.05,-2.3364,40582500,85223076.0
2019-06-27,'000727,华东科技,2.14,2.17,2.13,2.15,2.15,-0.01,-0.4651,40002502,85862079.26
2019-06-26,'000727,华东科技,2.15,2.17,2.11,2.15,2.15,0.0,0.0,34520000,73889414.0
2019-06-25,'000727,华东科技,2.15,2.21,2.12,2.19,2.19,-0.04,-1.8265,46806500,100475841.0
2019-06-24,'000727,华东科技,2.19,2.27,2.18,2.25,2.26,-0.07,-3.0973,74454692,164413646.48
2019-06-21,'000727,华东科技,2.26,2.31,2.19,2.24,2.19,0.07,3.1963,98150755,221870489.09
2019-06-20,'000727,华东科技,2.19,2.22,2.1,2.14,2.14,0.05,2.3364,85938796,186755365.2
2019-06-19,'000727,华东科技,2.14,2.24,2.14,2.19,2.13,0.01,0.4695,49183900,106855265.0
2019-06-18,'000727,华东科技,2.13,2.18,2.11,2.15,2.15,-0.02,-0.9302,38446300,82331809.0
2019-06-17,'000727,华东科技,2.15,2.21,2.1,2.18,2.18,-0.03,-1.3761,58863242,126261692.88
2019-06-14,'000727,华东科技,2.18,2.29,2.17,2.21,2.2,-0.02,-0.9091,88841799,198272470.75
2019-06-13,'000727,华东科技,2.2,2.26,2.15,2.17,2.19,0.01,0.4566,83859657,184474500.69
2019-06-12,'000727,华东科技,2.19,2.32,2.13,2.18,2.12,0.07,3.3019,154485545,343447632.86
2019-06-11,'000727,华东科技,2.12,2.12,1.93,1.94,1.93,0.19,9.8446,85692844,175276884.42
2019-06-10,'000727,华东科技,1.93,1.96,1.91,1.93,1.92,0.01,0.5208,35360359,68472217.87
2019-06-06,'000727,华东科技,1.92,2.02,1.87,2.02,2.01,-0.09,-4.4776,62855363,121493692.36
2019-06-05,'000727,华东科技,2.01,2.06,2.0,2.05,2.02,-0.01,-0.495,33021102,66798130.06
2019-06-04,'000727,华东科技,2.02,2.1,2.0,2.1,2.09,-0.07,-3.3493,50877200,103613830.35
