日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000728,国元证券,9.38,9.45,9.3,9.41,9.17,0.21,2.2901,28116562,263952721.26
2019-06-28,'000728,国元证券,9.17,9.29,9.1,9.27,9.26,-0.09,-0.9719,15527859,142488490.63
2019-06-27,'000728,国元证券,9.26,9.44,9.21,9.23,9.18,0.08,0.8715,21253258,197908610.35
2019-06-26,'000728,国元证券,9.18,9.28,9.16,9.2,9.36,-0.18,-1.9231,17121374,157638191.0
2019-06-25,'000728,国元证券,9.36,9.46,9.18,9.38,9.39,-0.03,-0.3195,27244335,253595184.36
2019-06-24,'000728,国元证券,9.39,9.58,9.32,9.54,9.45,-0.06,-0.6349,20891376,197057727.49
2019-06-21,'000728,国元证券,9.45,9.64,9.36,9.52,9.4,0.05,0.5319,41577821,394738822.64
2019-06-20,'000728,国元证券,9.4,9.62,8.97,9.0,8.99,0.41,4.5606,58748057,548709459.85
2019-06-19,'000728,国元证券,8.99,9.3,8.98,9.19,8.78,0.21,2.3918,27952548,255151515.95
2019-06-18,'000728,国元证券,8.78,8.97,8.72,8.91,8.91,-0.13,-1.459,15608343,137333615.27
2019-06-17,'000728,国元证券,8.91,9.01,8.83,8.9,8.92,-0.01,-0.1121,10876083,97092745.25
2019-06-14,'000728,国元证券,8.92,9.27,8.88,9.2,9.14,-0.22,-2.407,19711932,178977380.68
2019-06-13,'000728,国元证券,9.14,9.27,9.04,9.05,9.1,0.04,0.4396,21141657,193794273.79
2019-06-12,'000728,国元证券,9.1,9.25,8.99,9.08,9.08,0.02,0.2203,27407168,250096479.11
2019-06-11,'000728,国元证券,9.08,9.14,8.54,8.6,8.65,0.43,4.9711,37436766,333459903.62
2019-06-10,'000728,国元证券,8.65,9.0,8.32,8.98,9.13,-0.48,-5.2574,40548351,349848198.0
2019-06-06,'000728,国元证券,9.13,9.35,9.1,9.22,9.19,-0.06,-0.6529,18224868,168036266.08
2019-06-05,'000728,国元证券,9.19,9.38,9.17,9.23,9.11,0.08,0.8782,21764025,201716085.12
2019-06-04,'000728,国元证券,9.11,9.2,9.04,9.2,9.21,-0.1,-1.0858,15818739,144202747.62
2019-06-03,'000728,国元证券,9.21,9.43,9.03,9.26,9.2,0.01,0.1087,23620314,218264645.81
2019-05-31,'000728,国元证券,9.2,9.43,9.18,9.32,9.41,-0.21,-2.2317,26614442,247508640.27
2019-05-30,'000728,国元证券,9.41,9.49,9.18,9.21,9.24,0.17,1.8398,39954525,374550817.06
2019-05-29,'000728,国元证券,9.24,9.41,9.2,9.23,9.36,-0.12,-1.2821,18828571,174810820.16
2019-05-28,'000728,国元证券,9.36,9.47,9.21,9.3,9.39,-0.03,-0.3195,26269446,244609601.81
2019-05-27,'000728,国元证券,9.39,9.48,9.01,9.12,9.16,0.23,2.5109,35617512,330679747.65
2019-05-24,'000728,国元证券,9.16,9.28,9.03,9.1,9.16,0.0,0.0,26159690,239419191.61
2019-05-23,'000728,国元证券,9.16,9.43,8.95,8.98,8.99,0.17,1.891,42246664,388131685.77
2019-05-22,'000728,国元证券,8.99,9.12,8.92,8.99,8.99,0.0,0.0,20816699,187418363.01
2019-05-21,'000728,国元证券,8.99,9.15,8.72,8.73,8.72,0.27,3.0963,28718187,258269614.43
2019-05-20,'000728,国元证券,8.72,8.83,8.53,8.58,8.6,0.12,1.3953,20330245,176641479.67
2019-05-17,'000728,国元证券,8.6,9.15,8.52,9.12,9.1,-0.5,-5.4945,33327339,294034715.81
2019-05-16,'000728,国元证券,9.1,9.18,8.99,9.04,9.06,0.04,0.4415,17193706,156103575.73
2019-05-15,'000728,国元证券,9.06,9.12,8.98,8.98,8.9,0.16,1.7978,18178661,164436159.23
2019-05-14,'000728,国元证券,8.9,9.12,8.89,8.93,9.06,-0.16,-1.766,18587377,167397590.08
2019-05-13,'000728,国元证券,9.06,9.13,8.99,9.05,9.18,-0.12,-1.3072,17949987,162565169.25
2019-05-10,'000728,国元证券,9.18,9.25,8.71,8.92,8.81,0.37,4.1998,36011859,327341447.07
2019-05-09,'000728,国元证券,8.81,8.97,8.68,8.72,8.85,-0.04,-0.452,21033255,185997257.67
2019-05-08,'000728,国元证券,8.85,9.03,8.71,8.79,9.01,-0.16,-1.7758,20901515,185918525.41
2019-05-07,'000728,国元证券,9.01,9.07,8.69,8.9,8.82,0.19,2.1542,33373686,297889654.11
2019-05-06,'000728,国元证券,8.82,9.49,8.82,9.22,9.8,-0.98,-10.0,45885775,417545181.0
2019-04-30,'000728,国元证券,9.8,9.93,9.7,9.74,9.76,0.04,0.4098,23396923,230019123.38
2019-04-29,'000728,国元证券,9.76,10.19,9.73,10.14,10.11,-0.35,-3.4619,38604320,382032032.16
2019-04-26,'000728,国元证券,10.11,10.33,9.97,10.04,10.03,0.08,0.7976,33847671,343519981.88
2019-04-25,'000728,国元证券,10.03,10.56,9.99,10.41,10.45,-0.42,-4.0191,36241109,372718611.18
2019-04-24,'000728,国元证券,10.45,10.5,10.26,10.4,10.38,0.07,0.6744,27161257,282360335.37
2019-04-23,'000728,国元证券,10.38,10.63,10.21,10.38,10.38,0.0,0.0,37131507,387232066.42
2019-04-22,'000728,国元证券,10.38,10.89,10.34,10.84,10.75,-0.37,-3.4419,36055153,382104673.2
2019-04-19,'000728,国元证券,10.75,10.8,10.55,10.63,10.57,0.18,1.7029,28535819,304769628.42
2019-04-18,'000728,国元证券,10.57,10.74,10.55,10.61,10.62,-0.05,-0.4708,22284749,237292929.3
2019-04-17,'000728,国元证券,10.62,10.81,10.57,10.77,10.77,-0.15,-1.3928,32756117,349528689.99
2019-04-16,'000728,国元证券,10.77,10.79,10.1,10.41,10.52,0.25,2.3764,49968076,524783430.94
2019-04-15,'000728,国元证券,10.52,11.17,10.51,11.1,10.86,-0.34,-3.1308,52436634,567867428.04
2019-04-12,'000728,国元证券,10.86,11.04,10.67,10.79,10.72,0.14,1.306,42741224,464353016.4
2019-04-11,'000728,国元证券,10.72,10.98,10.66,10.87,10.91,-0.19,-1.7415,33748220,364562951.49
2019-04-10,'000728,国元证券,10.91,11.13,10.62,11.1,11.15,-0.24,-2.1525,57536921,625764391.07
2019-04-09,'000728,国元证券,11.15,11.27,10.84,11.0,11.05,0.1,0.905,45324533,501478963.42
2019-04-08,'000728,国元证券,11.05,11.51,10.8,11.45,11.37,-0.32,-2.8144,70784048,789598241.42
2019-04-04,'000728,国元证券,11.37,11.59,11.16,11.43,11.4,-0.03,-0.2632,84776048,960640401.58
2019-04-03,'000728,国元证券,11.4,11.46,10.55,10.55,10.72,0.68,6.3433,116514513,1293052997.19
2019-04-02,'000728,国元证券,10.72,11.07,10.6,10.7,10.6,0.12,1.1321,78441486,851422730.39
2019-04-01,'000728,国元证券,10.6,10.84,10.29,10.46,10.45,0.15,1.4354,94848683,1002284238.3
2019-03-29,'000728,国元证券,10.45,10.49,9.8,9.83,9.72,0.73,7.5103,98310991,1006519157.22
2019-03-28,'000728,国元证券,9.72,10.02,9.6,9.64,9.69,0.03,0.3096,40730634,400253356.65
2019-03-27,'000728,国元证券,9.69,9.83,9.6,9.81,9.65,0.04,0.4145,32562518,316290761.33
2019-03-26,'000728,国元证券,9.65,10.13,9.6,10.1,10.01,-0.36,-3.5964,50984118,501828391.22
2019-03-25,'000728,国元证券,10.01,10.32,9.98,10.04,10.36,-0.35,-3.3784,54646379,553302708.67
2019-03-22,'000728,国元证券,10.36,10.49,9.96,10.28,10.31,0.05,0.485,75046026,768098106.97
2019-03-21,'000728,国元证券,10.31,10.58,10.1,10.15,10.16,0.15,1.4764,107072159,1109302797.03
2019-03-20,'000728,国元证券,10.16,10.35,9.97,10.07,10.1,0.06,0.5941,70437310,714872519.47
2019-03-19,'000728,国元证券,10.1,10.3,10.0,10.25,10.27,-0.17,-1.6553,52432119,533612047.08
2019-03-18,'000728,国元证券,10.27,10.3,9.88,10.17,10.17,0.1,0.9833,68561034,692640380.04
2019-03-15,'000728,国元证券,10.17,10.32,9.91,10.2,10.1,0.07,0.6931,85034113,861681316.99
2019-03-14,'000728,国元证券,10.1,10.71,9.9,10.5,11.0,-0.9,-8.1818,166227720,1705055329.83
2019-03-13,'000728,国元证券,11.0,11.17,10.13,10.17,10.15,0.85,8.3744,254052631,2758425618.5
2019-03-12,'000728,国元证券,10.15,10.47,10.0,10.18,10.04,0.11,1.0956,78057730,795860165.85
2019-03-11,'000728,国元证券,10.04,10.12,9.4,9.57,9.57,0.47,4.9112,66661682,656385281.0
2019-03-08,'000728,国元证券,9.57,10.34,9.55,10.0,10.59,-1.02,-9.6317,94483368,943204562.29
2019-03-07,'000728,国元证券,10.59,11.03,10.1,10.4,10.4,0.19,1.8269,137562887,1450439296.04
2019-03-06,'000728,国元证券,10.4,10.57,9.89,9.93,9.89,0.51,5.1567,96200573,975172530.29
2019-03-05,'000728,国元证券,9.89,9.94,9.71,9.77,9.91,-0.02,-0.2018,44877012,440717554.96
2019-03-04,'000728,国元证券,9.91,10.54,9.62,9.92,9.89,0.02,0.2022,95579621,956887301.64
2019-03-01,'000728,国元证券,9.89,10.03,9.61,9.73,9.65,0.24,2.487,59785939,586454062.8
2019-02-28,'000728,国元证券,9.65,9.88,9.44,9.87,9.86,-0.21,-2.1298,47041975,451598115.9
2019-02-27,'000728,国元证券,9.86,10.26,9.64,9.87,9.96,-0.1,-1.004,82421816,816222195.28
