ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,³É½»Á¿,³É½»½ð¶î
2019-07-01,'000729,Ñà¾©Æ¡¾Æ,6.85,6.9,6.71,6.72,6.64,0.21,3.1627,22079120,150479228.06
2019-06-28,'000729,Ñà¾©Æ¡¾Æ,6.64,6.71,6.53,6.7,6.71,-0.07,-1.0432,12532642,82718664.3
2019-06-27,'000729,Ñà¾©Æ¡¾Æ,6.71,6.79,6.55,6.6,6.56,0.15,2.2866,20361140,136322062.06
2019-06-26,'000729,Ñà¾©Æ¡¾Æ,6.56,6.6,6.52,6.58,6.58,-0.02,-0.304,6236510,40942249.5
2019-06-25,'000729,Ñà¾©Æ¡¾Æ,6.58,6.73,6.5,6.72,6.73,-0.15,-2.2288,13662346,90050213.24
2019-06-24,'000729,Ñà¾©Æ¡¾Æ,6.73,6.78,6.67,6.73,6.72,0.01,0.1488,11790131,79382112.24
2019-06-21,'000729,Ñà¾©Æ¡¾Æ,6.72,6.8,6.63,6.66,6.65,0.07,1.0526,17576408,118114702.48
2019-06-20,'000729,Ñà¾©Æ¡¾Æ,6.65,6.7,6.47,6.51,6.51,0.14,2.1505,20594856,136113237.16
2019-06-19,'000729,Ñà¾©Æ¡¾Æ,6.51,6.62,6.48,6.56,6.42,0.09,1.4019,14204866,92903121.41
2019-06-18,'000729,Ñà¾©Æ¡¾Æ,6.42,6.48,6.36,6.46,6.42,0.0,0.0,9396812,60236975.97
2019-06-17,'000729,Ñà¾©Æ¡¾Æ,6.42,6.55,6.39,6.49,6.5,-0.08,-1.2308,8485577,54756023.95
2019-06-14,'000729,Ñà¾©Æ¡¾Æ,6.5,6.67,6.48,6.66,6.61,-0.11,-1.6641,10831436,71185143.2
2019-06-13,'000729,Ñà¾©Æ¡¾Æ,6.61,6.66,6.56,6.61,6.6,0.01,0.1515,7613339,50360222.99
2019-06-12,'000729,Ñà¾©Æ¡¾Æ,6.6,6.73,6.58,6.71,6.67,-0.07,-1.0495,13763243,91444982.8
2019-06-11,'000729,Ñà¾©Æ¡¾Æ,6.67,6.71,6.39,6.4,6.38,0.29,4.5455,21687851,142565118.68
2019-06-10,'000729,Ñà¾©Æ¡¾Æ,6.38,6.48,6.3,6.4,6.36,0.02,0.3145,12086895,77369356.25
2019-06-06,'000729,Ñà¾©Æ¡¾Æ,6.36,6.43,6.29,6.39,6.38,-0.02,-0.3135,12261915,78091644.76
2019-06-05,'000729,Ñà¾©Æ¡¾Æ,6.38,6.53,6.36,6.51,6.43,-0.05,-0.7776,13790662,88934621.57
2019-06-04,'000729,Ñà¾©Æ¡¾Æ,6.43,6.72,6.42,6.7,6.69,-0.26,-3.8864,15919274,103834461.46
2019-06-03,'000729,Ñà¾©Æ¡¾Æ,6.69,6.89,6.63,6.86,6.86,-0.17,-2.4781,16506743,111131558.29
2019-05-31,'000729,Ñà¾©Æ¡¾Æ,6.86,7.02,6.84,6.98,7.01,-0.15,-2.1398,16598906,114814862.81
