日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2004-03-23,'000730,*ST 环保,0.0,0.0,0.0,0.0,2.6,None,None,0,0.0
2004-03-22,'000730,*ST 环保,0.0,0.0,0.0,0.0,2.6,None,None,0,0.0
2004-03-19,'000730,*ST 环保,0.0,0.0,0.0,0.0,2.6,None,None,0,0.0
2004-03-18,'000730,*ST 环保,0.0,0.0,0.0,0.0,2.6,None,None,0,0.0
2004-03-17,'000730,*ST 环保,0.0,0.0,0.0,0.0,2.6,None,None,0,0.0
2004-03-16,'000730,*ST 环保,0.0,0.0,0.0,0.0,2.6,None,None,0,0.0
2004-03-15,'000730,*ST 环保,0.0,0.0,0.0,0.0,2.6,None,None,0,0.0
2004-03-12,'000730,*ST 环保,2.6,2.69,2.53,2.58,2.6,0.0,0.0,8727033,22832573.54
2004-03-11,'000730,*ST 环保,2.6,2.6,2.36,2.36,2.48,0.12,4.8387,10227874,25803480.77
2004-03-10,'000730,*ST 环保,2.48,2.48,2.48,2.48,2.61,-0.13,-4.9808,2361000,5855280.0
2004-03-09,'000730,*ST 环保,2.61,2.68,2.61,2.63,2.75,-0.14,-5.0909,1929600,5041560.0
2004-03-08,'000730,*ST 环保,2.75,2.84,2.75,2.75,2.89,-0.14,-4.8443,4558540,12599073.0
2004-03-05,'000730,*ST 环保,2.89,2.95,2.85,2.92,2.92,-0.03,-1.0274,1901917,5507460.76
2004-03-04,'000730,*ST 环保,2.92,2.98,2.85,2.95,3.0,-0.08,-2.6667,3071044,8934805.39
2004-03-03,'000730,*ST 环保,3.0,3.15,2.97,3.14,3.11,-0.11,-3.537,5264909,15982498.05
2004-03-02,'000730,*ST 环保,3.11,3.11,2.98,2.98,2.96,0.15,5.0676,7115651,22094616.17
2004-03-01,'000730,*ST 环保,2.96,2.98,2.88,2.91,2.91,0.05,1.7182,2240251,6555200.86
2004-02-27,'000730,*ST 环保,2.91,2.92,2.76,2.83,2.91,0.0,0.0,3610506,10235845.72
2004-02-26,'000730,*ST 环保,2.91,3.03,2.91,3.0,3.06,-0.15,-4.902,3356100,9846228.41
2004-02-25,'000730,*ST 环保,3.06,3.2,3.04,3.1,3.1,-0.04,-1.2903,4857834,15129431.53
2004-02-24,'000730,*ST 环保,3.1,3.24,3.03,3.19,3.19,-0.09,-2.8213,6786177,21109031.04
2004-02-23,'000730,*ST 环保,3.19,3.19,3.05,3.06,3.04,0.15,4.9342,9324795,29525245.4
2004-02-20,'000730,*ST 环保,3.04,3.05,2.97,2.98,2.96,0.08,2.7027,5988026,18025554.62
2004-02-19,'000730,*ST 环保,2.96,2.96,2.89,2.9,2.92,0.04,1.3699,4426924,12986963.89
2004-02-18,'000730,*ST 环保,2.92,2.97,2.89,2.96,2.97,-0.05,-1.6835,3435151,10030867.06
