日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000731,四川美丰,5.92,5.95,5.87,5.87,5.81,0.11,1.8933,3409619,20149256.56
2019-06-28,'000731,四川美丰,5.81,5.93,5.78,5.93,5.91,-0.1,-1.692,2625803,15308274.43
2019-06-27,'000731,四川美丰,5.91,5.94,5.86,5.89,5.89,0.02,0.3396,2035520,12025703.0
2019-06-26,'000731,四川美丰,5.89,5.92,5.82,5.9,5.91,-0.02,-0.3384,1921258,11317159.95
2019-06-25,'000731,四川美丰,5.91,5.99,5.83,5.97,5.99,-0.08,-1.3356,4904117,28820083.64
2019-06-24,'000731,四川美丰,5.99,6.02,5.94,6.01,6.01,-0.02,-0.3328,3770954,22506883.9
2019-06-21,'000731,四川美丰,6.01,6.02,5.89,5.89,5.89,0.12,2.0374,5725793,34079369.3
2019-06-20,'000731,四川美丰,5.89,5.92,5.78,5.81,5.81,0.08,1.3769,5104708,29861621.69
2019-06-19,'000731,四川美丰,5.81,5.96,5.8,5.94,5.8,0.01,0.1724,5864265,34377104.82
2019-06-18,'000731,四川美丰,5.95,5.96,5.85,5.9,5.9,0.05,0.8475,3595600,21325458.0
2019-06-17,'000731,四川美丰,5.9,5.94,5.82,5.83,5.83,0.07,1.2007,2626200,15434062.36
2019-06-14,'000731,四川美丰,5.83,5.98,5.82,5.98,5.97,-0.14,-2.3451,3545783,20886722.08
2019-06-13,'000731,四川美丰,5.97,5.98,5.84,5.88,5.93,0.04,0.6745,3143421,18600150.2
2019-06-12,'000731,四川美丰,5.93,6.0,5.91,5.99,5.96,-0.03,-0.5034,3211776,19090069.56
2019-06-11,'000731,四川美丰,5.96,5.98,5.83,5.83,5.85,0.11,1.8803,5377470,31882985.6
2019-06-10,'000731,四川美丰,5.85,5.87,5.76,5.79,5.79,0.06,1.0363,1950101,11362856.83
2019-06-06,'000731,四川美丰,5.79,5.86,5.76,5.86,5.86,-0.07,-1.1945,1939060,11231193.83
2019-06-05,'000731,四川美丰,5.86,5.92,5.84,5.92,5.86,0.0,0.0,1947101,11435934.6
2019-06-04,'000731,四川美丰,5.86,5.94,5.78,5.88,5.89,-0.03,-0.5093,2414910,14109792.4
2019-06-03,'000731,四川美丰,5.89,5.97,5.83,5.9,5.89,0.0,0.0,2916960,17196200.0
2019-05-31,'000731,四川美丰,5.89,6.05,5.88,6.0,6.01,-0.12,-1.9967,4200678,24976082.64
2019-05-30,'000731,四川美丰,6.01,6.06,5.79,5.82,5.85,0.16,2.735,6126039,36395914.59
2019-05-29,'000731,四川美丰,5.85,5.89,5.81,5.86,5.86,-0.01,-0.1706,2426100,14206582.0
2019-05-28,'000731,四川美丰,5.86,5.91,5.79,5.82,5.83,0.03,0.5146,3374300,19820218.0
2019-05-27,'000731,四川美丰,5.83,5.85,5.68,5.76,5.71,0.12,2.1016,3000587,17332615.39
2019-05-24,'000731,四川美丰,5.71,5.78,5.64,5.64,5.72,-0.01,-0.1748,2423417,13848652.82
2019-05-23,'000731,四川美丰,5.72,5.85,5.68,5.83,5.88,-0.16,-2.7211,3503900,20100793.0
2019-05-22,'000731,四川美丰,5.88,5.97,5.82,5.94,5.92,-0.04,-0.6757,3041999,17941870.91
