ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,³É½»Á¿,³É½»½ð¶î
2019-07-01,'000735,ÂÞ Å£ É½,10.12,10.23,9.95,9.99,9.87,0.25,2.5329,40378954,406758655.08
2019-06-28,'000735,ÂÞ Å£ É½,9.87,9.98,9.73,9.95,9.93,-0.06,-0.6042,30218625,297987307.85
2019-06-27,'000735,ÂÞ Å£ É½,9.93,10.01,9.91,9.92,9.9,0.03,0.303,24414911,243087751.78
2019-06-26,'000735,ÂÞ Å£ É½,9.9,10.08,9.88,10.0,10.0,-0.1,-1.0,25336698,252725220.24
2019-06-25,'000735,ÂÞ Å£ É½,10.0,10.24,9.97,10.19,10.24,-0.24,-2.3438,37879050,381111605.59
2019-06-24,'000735,ÂÞ Å£ É½,10.24,10.41,10.18,10.34,10.44,-0.2,-1.9157,42674670,438606098.59
2019-06-21,'000735,ÂÞ Å£ É½,10.44,10.64,10.36,10.42,10.45,-0.01,-0.0957,48573443,508670755.07
2019-06-20,'000735,ÂÞ Å£ É½,10.45,10.54,10.2,10.27,10.36,0.09,0.8687,57460177,597476537.51
2019-06-19,'000735,ÂÞ Å£ É½,10.36,10.46,10.22,10.4,10.28,0.08,0.7782,46389058,479761291.16
2019-06-18,'000735,ÂÞ Å£ É½,10.28,10.36,10.09,10.14,10.12,0.16,1.581,34387463,351958135.46
2019-06-17,'000735,ÂÞ Å£ É½,10.12,10.44,9.93,10.0,10.07,0.05,0.4965,31574449,320464476.94
2019-06-14,'000735,ÂÞ Å£ É½,10.07,10.47,10.04,10.33,10.32,-0.25,-2.4225,42007962,431608911.57
2019-06-13,'000735,ÂÞ Å£ É½,10.32,10.48,10.22,10.33,10.47,-0.15,-1.4327,45080225,466084122.79
2019-06-12,'000735,ÂÞ Å£ É½,10.47,10.56,10.02,10.1,10.16,0.31,3.0512,78974490,812474816.43
2019-06-11,'000735,ÂÞ Å£ É½,10.16,10.22,9.8,9.84,9.86,0.3,3.0426,53110297,534239767.91
2019-06-10,'000735,ÂÞ Å£ É½,9.86,9.96,9.75,9.79,9.89,-0.03,-0.3033,28263920,278291420.9
2019-06-06,'000735,ÂÞ Å£ É½,9.89,10.07,9.65,10.01,10.08,-0.19,-1.8849,40669041,400785989.43
