日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'002907,华森制药,18.1,18.15,17.92,18.0,17.8,0.3,1.6854,1547446,27965271.14
2019-06-28,'002907,华森制药,17.8,18.26,17.65,18.25,18.15,-0.35,-1.9284,1631246,29177319.88
2019-06-27,'002907,华森制药,18.15,18.8,17.8,17.84,17.84,0.31,1.7377,2785000,50926509.0
2019-06-26,'002907,华森制药,17.84,17.96,17.72,17.96,17.7,0.14,0.791,1082800,19288806.0
2019-06-25,'002907,华森制药,17.7,18.08,17.51,17.96,17.96,-0.26,-1.4477,1494000,26452502.0
2019-06-24,'002907,华森制药,17.96,18.23,17.91,18.18,18.22,-0.26,-1.427,1449900,26094978.0
2019-06-21,'002907,华森制药,18.22,18.45,18.15,18.22,18.25,-0.03,-0.1644,2786438,50930261.88
2019-06-20,'002907,华森制药,18.25,18.4,17.72,18.1,18.04,0.21,1.1641,3195898,57742676.26
2019-06-19,'002907,华森制药,18.04,18.5,17.92,18.21,18.09,-0.05,-0.2764,2741498,49637152.14
2019-06-18,'002907,华森制药,18.09,18.56,17.83,18.32,18.69,-0.6,-3.2103,3877198,70493130.12
2019-06-17,'002907,华森制药,18.69,18.83,17.28,17.3,17.12,1.57,9.1706,5547900,101123454.0
2019-06-14,'002907,华森制药,17.12,17.5,17.06,17.5,17.24,-0.12,-0.6961,1516100,26094623.0
2019-06-13,'002907,华森制药,17.24,17.33,17.09,17.24,17.24,0.0,0.0,1199600,20670383.0
2019-06-12,'002907,华森制药,17.24,17.4,17.12,17.25,17.19,0.05,0.2909,1871998,32328089.54
2019-06-11,'002907,华森制药,17.19,17.23,16.41,16.41,16.41,0.78,4.7532,2352440,40089474.6
2019-06-10,'002907,华森制药,16.41,16.58,16.21,16.41,16.33,0.08,0.4899,924100,15130432.0
2019-06-06,'002907,华森制药,16.33,17.22,16.25,17.22,17.23,-0.9,-5.2234,2079309,34254269.79
2019-06-05,'002907,华森制药,17.23,17.91,17.15,17.65,17.55,-0.32,-1.8234,1644094,28477198.8
2019-06-04,'002907,华森制药,17.55,18.0,17.42,17.91,17.91,-0.36,-2.0101,1296293,22798233.72
2019-06-03,'002907,华森制药,17.91,18.3,17.86,18.04,17.98,-0.07,-0.3893,1557154,28006008.32
2019-05-31,'002907,华森制药,17.98,18.1,17.72,17.8,17.83,0.15,0.8413,2198035,39421888.06
2019-05-30,'002907,华森制药,17.83,17.89,17.48,17.89,17.73,0.1,0.564,1635022,28925838.72
2019-05-29,'002907,华森制药,17.73,17.85,17.31,17.73,17.73,0.0,0.0,1175303,20790792.17
2019-05-28,'002907,华森制药,17.73,17.97,17.59,17.75,17.84,-0.11,-0.6166,1399103,24882791.44
2019-05-27,'002907,华森制药,17.84,17.91,17.3,17.4,17.63,0.21,1.1912,1813231,32076020.19
2019-05-24,'002907,华森制药,17.63,17.97,17.13,17.36,17.28,0.35,2.0255,1833293,32042069.88
2019-05-23,'002907,华森制药,17.28,17.72,17.16,17.72,17.63,-0.35,-1.9853,1339293,23306255.62
2019-05-22,'002907,华森制药,17.63,18.18,17.51,17.81,17.77,-0.14,-0.7878,1383021,24504601.07
2019-05-21,'002907,华森制药,17.77,17.82,17.37,17.5,17.48,0.29,1.659,1479966,26208966.4
2019-05-20,'002907,华森制药,17.48,17.85,17.07,17.73,17.72,-0.24,-1.3544,1381480,23966974.21
2019-05-17,'002907,华森制药,17.72,18.56,17.53,18.4,18.41,-0.69,-3.748,2277263,41103016.55
2019-05-16,'002907,华森制药,18.41,18.59,18.13,18.25,18.26,0.15,0.8215,2051608,37720523.07
2019-05-15,'002907,华森制药,18.26,18.32,18.1,18.21,17.99,0.27,1.5008,1594013,29038667.6
2019-05-14,'002907,华森制药,17.99,18.35,17.9,18.09,18.37,-0.38,-2.0686,1838421,33228528.08
2019-05-13,'002907,华森制药,18.37,18.68,17.94,17.94,18.21,0.16,0.8786,2199894,40414053.6
2019-05-10,'002907,华森制药,18.21,18.35,17.6,17.75,17.62,0.59,3.3485,2329194,42119503.34
2019-05-09,'002907,华森制药,17.62,18.2,17.62,17.91,18.08,-0.46,-2.5442,2012152,35935193.25
2019-05-08,'002907,华森制药,18.08,18.38,17.26,17.26,17.82,0.26,1.459,2432757,44052152.4
